cpe_id_pk,cpe_version,part,vendor,product,version,update,edition,sw_edition,target_sw,target_hw,language,other,initial_cpe
634,2.3,o,microsoft,windows_2000,-,sp1,,,advanced_server,,,,cpe:2.3:o:microsoft:windows_2000:-:sp1:*:*:advanced_server:*:*:*
635,2.3,o,microsoft,windows_2000,-,sp1,,,datacenter_server,,,,cpe:2.3:o:microsoft:windows_2000:-:sp1:*:*:datacenter_server:*:*:*
636,2.3,o,microsoft,windows_2000,-,sp1,,,professional,,,,cpe:2.3:o:microsoft:windows_2000:-:sp1:*:*:professional:*:*:*
637,2.3,o,microsoft,windows_2000,-,sp1,,,server,,,,cpe:2.3:o:microsoft:windows_2000:-:sp1:*:*:server:*:*:*
638,2.3,o,microsoft,windows_2000,-,sp1,advanced_server,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp1:advanced_server:*:*:*:*:*
639,2.3,o,microsoft,windows_2000,-,sp1,datacenter_server,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp1:datacenter_server:*:*:*:*:*
640,2.3,o,microsoft,windows_2000,-,sp1,professional,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp1:professional:*:*:*:*:*
641,2.3,o,microsoft,windows_2000,-,sp1,server,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp1:server:*:*:*:*:*
642,2.3,o,microsoft,windows_2000,-,sp2,,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp2:*:*:*:*:*:*
643,2.3,o,microsoft,windows_2000,-,sp2,,,advanced_server,,,,cpe:2.3:o:microsoft:windows_2000:-:sp2:*:*:advanced_server:*:*:*
644,2.3,o,microsoft,windows_2000,-,sp2,,,datacenter_server,,,,cpe:2.3:o:microsoft:windows_2000:-:sp2:*:*:datacenter_server:*:*:*
645,2.3,o,microsoft,windows_2000,-,sp2,,,professional,,,,cpe:2.3:o:microsoft:windows_2000:-:sp2:*:*:professional:*:*:*
646,2.3,o,microsoft,windows_2000,-,sp2,,,server,,,,cpe:2.3:o:microsoft:windows_2000:-:sp2:*:*:server:*:*:*
647,2.3,o,microsoft,windows_2000,-,sp2,advanced_server,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp2:advanced_server:*:*:*:*:*
648,2.3,o,microsoft,windows_2000,-,sp2,datacenter_server,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp2:datacenter_server:*:*:*:*:*
649,2.3,o,microsoft,windows_2000,-,sp2,professional,,,,,,cpe:2.3:o:microsoft:windows_2000:-:sp2:professional:*:*:*:*:*
