package,version,architecture
linux-modules-ipu6-6.2.0-1015-lowlatency,6.2.0,amd64
linux-modules-ipu6-6.2.0-1016-lowlatency,6.2.0,amd64
linux-modules-ipu6-6.2.0-1017-lowlatency,6.2.0,amd64
linux-modules-ipu6-6.2.0-1018-lowlatency,6.2.0,amd64
linux-modules-ipu6-6.2.0-25-generic,6.2.0,amd64
linux-modules-ipu6-6.2.0-26-generic,6.2.0,amd64
linux-modules-ipu6-6.2.0-31-generic,6.2.0,amd64
linux-modules-ipu6-6.2.0-32-generic,6.2.0,amd64
linux-modules-ipu6-6.2.0-33-generic,6.2.0,amd64
linux-modules-ipu6-6.2.0-34-generic,6.2.0,amd64
linux-modules-ipu6-6.2.0-35-generic,6.2.0,amd64
linux-modules-ipu6-6.2.0-36-generic,6.2.0,amd64
linux-modules-ipu6-6.2.0-37-generic,6.2.0,amd64
linux-modules-ipu6-6.2.0-39-generic,6.2.0,amd64
linux-modules-ipu6-6.5.0-1003-oem,6.5.0,amd64
linux-modules-ipu6-6.5.0-1004-oem,6.5.0,amd64
linux-modules-ipu6-6.5.0-1006-oem,6.5.0,amd64
linux-modules-ipu6-6.5.0-1007-nvidia,6.5.0,amd64
linux-modules-ipu6-6.5.0-1007-oem,6.5.0,amd64
linux-modules-ipu6-6.5.0-1008-oem,6.5.0,amd64
linux-modules-ipu6-6.5.0-1009-oem,6.5.0,amd64
linux-modules-ipu6-6.5.0-1011-oem,6.5.0,amd64
linux-modules-ipu6-6.5.0-1013-oem,6.5.0,amd64
linux-modules-ipu6-6.5.0-1014-oem,6.5.0,amd64
linux-modules-ipu6-6.5.0-1015-azure,6.5.0,amd64
linux-modules-ipu6-6.5.0-1015-oem,6.5.0,amd64
linux-modules-ipu6-6.5.0-1016-azure,6.5.0,amd64
linux-modules-ipu6-6.5.0-1016-oem,6.5.0,amd64
linux-modules-ipu6-6.5.0-14-generic,6.5.0,amd64
linux-modules-ipu6-6.5.0-15-generic,6.5.0,amd64
linux-modules-ipu6-6.5.0-17-generic,6.5.0,amd64
linux-modules-ipu6-6.5.0-18-generic,6.5.0,amd64
linux-modules-ipu6-6.5.0-21-generic,6.5.0,amd64
linux-modules-ipu6-6.5.0-25-generic,6.5.0,amd64
linux-modules-ipu6-azure-edge,6.5.0.1016.16~22.04.1,amd64
linux-modules-ipu6-azure,6.5.0.1016.16~22.04.1,amd64
linux-modules-ipu6-generic-hwe-22.04-edge,6.5.0.25.25~22.04.12,amd64
linux-modules-ipu6-generic-hwe-22.04,6.5.0.25.25~22.04.12,amd64
linux-modules-ipu6-lowlatency-hwe-22.04-edge,6.2.0.1017.17~22.04.14,amd64
linux-modules-ipu6-lowlatency-hwe-22.04,6.2.0.1018.18~22.04.15,amd64
linux-modules-ipu6-oem-22.04,6.1.0.1035.36,amd64
linux-modules-ipu6-oem-22.04a,5.17.0.1035.33,amd64
linux-modules-ipu6-oem-22.04b,6.1.0.1035.36,amd64
linux-modules-ipu6-oem-22.04c,6.1.0.1035.36,amd64
linux-modules-ipu6-oem-22.04d,6.5.0.1016.18,amd64
linux-modules-ivsc-5.17.0-1031-oem,5.17.0,amd64
linux-modules-ivsc-5.17.0-1032-oem,5.17.0,amd64
linux-modules-ivsc-5.17.0-1033-oem,5.17.0,amd64
linux-modules-ivsc-5.17.0-1034-oem,5.17.0,amd64
linux-modules-ivsc-5.17.0-1035-oem,5.17.0,amd64
linux-modules-ivsc-5.19.0-1024-lowlatency,5.19.0,amd64
linux-modules-ivsc-5.19.0-1025-lowlatency,5.19.0,amd64
linux-modules-ivsc-5.19.0-1027-lowlatency,5.19.0,amd64
linux-modules-ivsc-5.19.0-1028-lowlatency,5.19.0,amd64
linux-modules-ivsc-5.19.0-1030-lowlatency,5.19.0,amd64
linux-modules-ivsc-5.19.0-41-generic,5.19.0,amd64
linux-modules-ivsc-5.19.0-42-generic,5.19.0,amd64
linux-modules-ivsc-5.19.0-43-generic,5.19.0,amd64
linux-modules-ivsc-5.19.0-45-generic,5.19.0,amd64
linux-modules-ivsc-5.19.0-46-generic,5.19.0,amd64
linux-modules-ivsc-5.19.0-50-generic,5.19.0,amd64
linux-modules-ivsc-6.0.0-1016-oem,6.0.0,amd64
linux-modules-ivsc-6.0.0-1017-oem,6.0.0,amd64
linux-modules-ivsc-6.0.0-1018-oem,6.0.0,amd64
linux-modules-ivsc-6.0.0-1019-oem,6.0.0,amd64
linux-modules-ivsc-6.0.0-1020-oem,6.0.0,amd64
linux-modules-ivsc-6.0.0-1021-oem,6.0.0,amd64
linux-modules-ivsc-6.1.0-1012-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1013-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1014-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1015-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1016-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1017-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1019-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1020-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1021-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1022-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1023-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1024-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1025-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1026-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1027-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1028-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1029-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1033-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1034-oem,6.1.0,amd64
linux-modules-ivsc-6.1.0-1035-oem,6.1.0,amd64
linux-modules-ivsc-6.2.0-1007-azure,6.2.0,amd64
linux-modules-ivsc-6.2.0-1008-azure,6.2.0,amd64
linux-modules-ivsc-6.2.0-1009-lowlatency,6.2.0,amd64
linux-modules-ivsc-6.2.0-1011-lowlatency,6.2.0,amd64
linux-modules-ivsc-6.2.0-1012-lowlatency,6.2.0,amd64
linux-modules-ivsc-6.2.0-1013-lowlatency,6.2.0,amd64
linux-modules-ivsc-6.2.0-1014-lowlatency,6.2.0,amd64
linux-modules-ivsc-6.2.0-1015-lowlatency,6.2.0,amd64
linux-modules-ivsc-6.2.0-1016-lowlatency,6.2.0,amd64
linux-modules-ivsc-6.2.0-1017-lowlatency,6.2.0,amd64
linux-modules-ivsc-6.2.0-1018-lowlatency,6.2.0,amd64
linux-modules-ivsc-6.2.0-25-generic,6.2.0,amd64
linux-modules-ivsc-6.2.0-26-generic,6.2.0,amd64
linux-modules-ivsc-6.2.0-31-generic,6.2.0,amd64
linux-modules-ivsc-6.2.0-32-generic,6.2.0,amd64
linux-modules-ivsc-6.2.0-33-generic,6.2.0,amd64
linux-modules-ivsc-6.2.0-34-generic,6.2.0,amd64
linux-modules-ivsc-6.2.0-35-generic,6.2.0,amd64
linux-modules-ivsc-6.2.0-36-generic,6.2.0,amd64
linux-modules-ivsc-6.2.0-37-generic,6.2.0,amd64
linux-modules-ivsc-6.2.0-39-generic,6.2.0,amd64
linux-modules-ivsc-6.5.0-1003-oem,6.5.0,amd64
linux-modules-ivsc-6.5.0-1004-oem,6.5.0,amd64
linux-modules-ivsc-6.5.0-1006-oem,6.5.0,amd64
linux-modules-ivsc-6.5.0-1007-nvidia,6.5.0,amd64
linux-modules-ivsc-6.5.0-1007-oem,6.5.0,amd64
linux-modules-ivsc-6.5.0-1008-oem,6.5.0,amd64
linux-modules-ivsc-6.5.0-1009-oem,6.5.0,amd64
linux-modules-ivsc-6.5.0-1011-oem,6.5.0,amd64
linux-modules-ivsc-6.5.0-1013-oem,6.5.0,amd64
linux-modules-ivsc-6.5.0-1014-oem,6.5.0,amd64
linux-modules-ivsc-6.5.0-1015-azure,6.5.0,amd64
linux-modules-ivsc-6.5.0-1015-oem,6.5.0,amd64
linux-modules-ivsc-6.5.0-1016-azure,6.5.0,amd64
linux-modules-ivsc-6.5.0-1016-oem,6.5.0,amd64
linux-modules-ivsc-6.5.0-14-generic,6.5.0,amd64
linux-modules-ivsc-6.5.0-15-generic,6.5.0,amd64
linux-modules-ivsc-6.5.0-17-generic,6.5.0,amd64
linux-modules-ivsc-6.5.0-18-generic,6.5.0,amd64
linux-modules-ivsc-6.5.0-21-generic,6.5.0,amd64
linux-modules-ivsc-6.5.0-25-generic,6.5.0,amd64
linux-modules-ivsc-azure-edge,6.5.0.1016.16~22.04.1,amd64
linux-modules-ivsc-azure,6.5.0.1016.16~22.04.1,amd64
linux-modules-ivsc-generic-hwe-22.04-edge,6.5.0.25.25~22.04.12,amd64
linux-modules-ivsc-generic-hwe-22.04,6.5.0.25.25~22.04.12,amd64
linux-modules-ivsc-lowlatency-hwe-22.04-edge,6.2.0.1017.17~22.04.14,amd64
linux-modules-ivsc-lowlatency-hwe-22.04,6.2.0.1018.18~22.04.15,amd64
linux-modules-ivsc-oem-22.04,6.1.0.1035.36,amd64
linux-modules-ivsc-oem-22.04a,5.17.0.1035.33,amd64
linux-modules-ivsc-oem-22.04b,6.1.0.1035.36,amd64
linux-modules-ivsc-oem-22.04c,6.1.0.1035.36,amd64
linux-modules-ivsc-oem-22.04d,6.5.0.1016.18,amd64
linux-modules-iwlwifi-5.15.0-100-generic,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-100-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1027-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1028-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1028-intel-iotg,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1030-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1030-intel-iotg,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1031-intel-iotg,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1032-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1033-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1033-intel-iotg,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1034-gcp,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1034-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1034-intel-iotg,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1035-gcp,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1035-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1035-intel-iotg,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1036-gcp,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1036-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1036-intel-iotg,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1037-gcp,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1037-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1037-intel-iotg,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1038-gcp,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1038-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1038-intel-iotg,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1039-gcp,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1039-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1039-intel-iotg,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1040-gcp,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1040-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1040-intel-iotg,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1041-gcp,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1041-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1042-gcp,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1042-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1043-intel-iotg,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1044-gcp,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1044-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1045-gcp,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1045-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1045-intel-iotg,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1046-gcp,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1046-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1046-intel-iotg,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1047-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1047-intel-iotg,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1048-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1048-intel-iotg,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1049-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1049-intel-iotg,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1050-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1051-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1052-gke,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1056-azure,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1057-azure,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-1058-azure,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-72-generic,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-72-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-73-generic,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-73-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-75-generic,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-75-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-76-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-78-generic,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-78-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-79-generic,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-79-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-82-generic,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-82-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-83-generic,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-83-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-84-generic,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-84-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-86-generic,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-86-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-87-generic,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-87-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-88-generic,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-88-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-89-generic,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-89-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-91-generic,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-91-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-92-generic,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-92-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-94-generic,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-94-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-97-generic,5.15.0,amd64
linux-modules-iwlwifi-5.15.0-97-lowlatency,5.15.0,amd64
linux-modules-iwlwifi-5.17.0-1031-oem,5.17.0,amd64
linux-modules-iwlwifi-5.17.0-1032-oem,5.17.0,amd64
linux-modules-iwlwifi-5.17.0-1033-oem,5.17.0,amd64
linux-modules-iwlwifi-5.17.0-1034-oem,5.17.0,amd64
linux-modules-iwlwifi-5.17.0-1035-oem,5.17.0,amd64
linux-modules-iwlwifi-5.19.0-1024-lowlatency,5.19.0,amd64
linux-modules-iwlwifi-5.19.0-1025-lowlatency,5.19.0,amd64
linux-modules-iwlwifi-5.19.0-1027-lowlatency,5.19.0,amd64
linux-modules-iwlwifi-5.19.0-1028-lowlatency,5.19.0,amd64
linux-modules-iwlwifi-5.19.0-1030-lowlatency,5.19.0,amd64
linux-modules-iwlwifi-5.19.0-41-generic,5.19.0,amd64
linux-modules-iwlwifi-5.19.0-42-generic,5.19.0,amd64
linux-modules-iwlwifi-5.19.0-43-generic,5.19.0,amd64
linux-modules-iwlwifi-5.19.0-45-generic,5.19.0,amd64
linux-modules-iwlwifi-5.19.0-46-generic,5.19.0,amd64
linux-modules-iwlwifi-5.19.0-50-generic,5.19.0,amd64
linux-modules-iwlwifi-6.0.0-1016-oem,6.0.0,amd64
linux-modules-iwlwifi-6.0.0-1017-oem,6.0.0,amd64
linux-modules-iwlwifi-6.0.0-1018-oem,6.0.0,amd64
linux-modules-iwlwifi-6.0.0-1019-oem,6.0.0,amd64
linux-modules-iwlwifi-6.0.0-1020-oem,6.0.0,amd64
linux-modules-iwlwifi-6.0.0-1021-oem,6.0.0,amd64
linux-modules-iwlwifi-6.1.0-1012-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1013-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1014-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1015-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1016-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1017-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1019-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1020-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1021-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1022-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1023-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1024-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1025-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1026-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1027-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1028-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1029-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1033-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1034-oem,6.1.0,amd64
linux-modules-iwlwifi-6.1.0-1035-oem,6.1.0,amd64
linux-modules-iwlwifi-6.2.0-1007-aws,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1007-azure,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1008-aws,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1008-azure,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1008-lowlatency,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1009-lowlatency,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1010-gcp,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1011-gcp,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1011-lowlatency,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1012-gcp,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1012-lowlatency,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1013-gcp,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1013-lowlatency,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1014-gcp,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1014-lowlatency,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1015-lowlatency,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1016-gcp,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1016-lowlatency,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1017-gcp,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1017-lowlatency,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-1018-lowlatency,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-25-generic,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-26-generic,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-31-generic,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-32-generic,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-33-generic,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-34-generic,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-35-generic,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-36-generic,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-37-generic,6.2.0,amd64
linux-modules-iwlwifi-6.2.0-39-generic,6.2.0,amd64
linux-modules-iwlwifi-6.5.0-1003-oem,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1004-oem,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1006-oem,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1007-azure,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1007-nvidia,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1007-oem,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1008-oem,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1009-azure,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1009-oem,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1010-azure,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1010-gcp,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1011-azure,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1011-gcp,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1011-oem,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1013-gcp,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1013-oem,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1013-oracle,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1014-gcp,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1014-oem,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1015-azure,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1015-gcp,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1015-oem,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1016-azure,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-1016-oem,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-14-generic,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-14-lowlatency,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-15-generic,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-15-lowlatency,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-17-generic,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-17-lowlatency,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-18-generic,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-21-generic,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-21-lowlatency,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-25-generic,6.5.0,amd64
linux-modules-iwlwifi-6.5.0-25-lowlatency,6.5.0,amd64
linux-modules-iwlwifi-aws-edge,6.2.0.1008.8~22.04.1,amd64
linux-modules-iwlwifi-azure-edge,6.5.0.1016.16~22.04.1,amd64
linux-modules-iwlwifi-azure,6.5.0.1016.16~22.04.1,amd64
linux-modules-iwlwifi-gcp-edge,6.5.0.1015.15~22.04.1,amd64
linux-modules-iwlwifi-gcp,6.5.0.1015.15~22.04.1,amd64
linux-modules-iwlwifi-generic-hwe-22.04-edge,6.5.0.25.25~22.04.12,amd64
linux-modules-iwlwifi-generic-hwe-22.04,6.5.0.25.25~22.04.12,amd64
linux-modules-iwlwifi-generic,5.15.0.100.97,amd64
linux-modules-iwlwifi-lowlatency-hwe-22.04-edge,6.5.0.25.25.1~22.04.8,amd64
linux-modules-iwlwifi-lowlatency-hwe-22.04,6.5.0.25.25.1~22.04.8,amd64
linux-modules-iwlwifi-oem-22.04,6.1.0.1035.36,amd64
linux-modules-iwlwifi-oem-22.04a,5.17.0.1035.33,amd64
linux-modules-iwlwifi-oem-22.04b,6.1.0.1035.36,amd64
linux-modules-iwlwifi-oem-22.04c,6.1.0.1035.36,amd64
linux-modules-iwlwifi-oem-22.04d,6.5.0.1016.18,amd64
linux-modules-iwlwifi-oracle-edge,6.5.0.1013.13~22.04.4,amd64
linux-modules-nvidia-390-5.15.0-100-generic,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-100-lowlatency,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1002-oracle,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1003-azure,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1003-gcp,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1004-aws,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1004-intel-iotg,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1025-nvidia,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1026-nvidia,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1027-nvidia,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1028-intel-iotg,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1028-nvidia,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1029-nvidia,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1030-intel-iotg,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1030-nvidia,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1031-intel-iotg,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1031-nvidia,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1032-nvidia,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1033-intel-iotg,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1033-nvidia,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1034-gcp,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1034-intel-iotg,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1035-aws,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1035-gcp,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1035-intel-iotg,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1035-oracle,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1036-aws,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1036-gcp,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1036-intel-iotg,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1036-oracle,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1037-aws,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1037-azure,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1037-gcp,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1037-intel-iotg,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1037-nvidia,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1037-oracle,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1038-aws,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1038-azure,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1038-gcp,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1038-intel-iotg,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1038-oracle,5.15.0,amd64
linux-modules-nvidia-390-5.15.0-1039-aws,5.15.0,amd64
