package,version,architecture
alsa-topology-conf,1.2.5.1,all
alsa-ucm-conf,1.2.6.3,all
alsa-utils,1.2.6,amd64
alsa-utils,1.2.6,i386
alsamixergui,0.9.0rc2,amd64
alsaplayer-alsa,0.99.81,amd64
alsaplayer-common,0.99.81,amd64
alsaplayer-daemon,0.99.81,amd64
alsaplayer-gtk,0.99.81,amd64
alsaplayer-jack,0.99.81,amd64
alsaplayer-nas,0.99.81,amd64
alsaplayer-oss,0.99.81,amd64
alsaplayer-text,0.99.81,amd64
alsaplayer-xosd,0.99.81,amd64
alt-ergo,2.0.0,amd64
alter-sequence-alignment,1.3.4,all
altermime,0.3.10,amd64
altos,1.9.10,amd64
altree-examples,1.3.2,all
altree,1.3.2,amd64
alttab,1.5.0,amd64
alure-doc,1.2,all
alure-utils,1.2,amd64
amanda-client,3.5.1,amd64
amanda-common,3.5.1,amd64
amanda-server,3.5.1,amd64
amap-align,2.2,amd64
amavisd-milter,1.7.1,amd64
amavisd-new-postfix,2.12.2,all
amavisd-new,2.12.2,all
amazon-ec2-utils,1.4,all
amazon-ecr-credential-helper,0.5.0,amd64
amb-plugins,0.8.1,amd64
ambdec,0.7.1,amd64
amber,0.0~git20171010.cdade1c,amd64
amd64-microcode,3.20191218.1ubuntu2.2,amd64
amdgcn-tools,13,amd64
ament-cmake-clang-format,0.12.0,all
ament-cmake-clang-tidy,0.12.0,all
ament-cmake-copyright,0.12.0,all
ament-cmake-core,1.3.0,all
ament-cmake-cppcheck,0.12.0,all
ament-cmake-cpplint,0.12.0,all
ament-cmake-flake8,0.12.0,all
ament-cmake-googletest,1.3.0,amd64
ament-cmake-lint-cmake,0.12.0,all
ament-cmake-mypy,0.12.0,all
ament-cmake-nose,1.3.0,all
ament-cmake-pep257,0.12.0,all
ament-cmake-pycodestyle,0.12.0,all
ament-cmake-pyflakes,0.12.0,all
ament-cmake-pytest,1.3.0,all
ament-cmake-python,1.3.0,all
ament-cmake-uncrustify,0.12.0,all
ament-cmake-xmllint,0.12.0,all
ament-cmake,1.3.0,all
ament-lint,0.12.0,all
amfora,1.9.2,amd64
amide,1.0.5,amd64
amideco,0.31e,amd64
amiga-fdisk-cross,0.04,amd64
amispammer,3.3,all
amiwm,0.21pl2,amd64
amoeba-data,1.1,all
amoeba,1.1,amd64
amoebax-data,0.2.1,all
amoebax,0.2.1,amd64
amphetamine-data,0.8.7,all
amphetamine,0.8.10,amd64
amphora-agent,10.1.0,all
ample,0.5.7,amd64
ampliconnoise,1.29,amd64
ampr-ripd,2.4.1,amd64
amqp-specs,1,all
amqp-tools,0.10.0,amd64
amqp-tools,0.10.0,i386
ams,2.2.0,amd64
amsynth,1.12.4,amd64
amtterm,1.4,amd64
amule-common,2.3.3,all
amule-daemon,2.3.3,amd64
amule-emc,0.5.2,amd64
amule-gnome-support,2.3.3,all
amule-utils-gui,2.3.3,amd64
amule-utils,2.3.3,amd64
amule,2.3.3,amd64
an,1.2,amd64
anacrolix-dms,1.1.0,amd64
anacron,2.3,amd64
anagramarama-data,0.3,all
anagramarama,0.3,amd64
analitza-common,21.12.3,all
analog,6.0,amd64
anarchism,15.3,all
anbox,0.0~git20211020,amd64
anc-api-tools,2017.12.29,all
ancient,1.0,amd64
and,1.2.2,amd64
andi,0.14,amd64
androguard,3.4.0~a1,all
android-androresolvd,1.3,amd64
android-file-transfer,4.2,amd64
android-framework-res,10.0.0,all
android-libaapt,10.0.0,amd64
android-libadb-dev,10.0.0,all
android-libadb,10.0.0,amd64
android-libandroidfw-dev,10.0.0,amd64
android-libandroidfw,10.0.0,amd64
android-libart,10.0.0,amd64
android-libbacktrace-dev,10.0.0,all
android-libbacktrace,10.0.0,amd64
android-libbase-dev,10.0.0,all
android-libbase,10.0.0,amd64
android-libboringssl-dev,10.0.0,amd64
android-libboringssl,10.0.0,amd64
android-libcrypto-utils-dev,10.0.0,all
android-libcrypto-utils,10.0.0,amd64
android-libcutils-dev,10.0.0,all
android-libcutils,10.0.0,amd64
android-libetc1-dev,10.0.0,amd64
android-libetc1,10.0.0,amd64
android-libext4-utils-dev,10.0.0,all
android-libext4-utils,10.0.0,amd64
android-libfec-dev,10.0.0,all
android-libfec,10.0.0,amd64
android-liblog-dev,10.0.0,all
android-liblog,10.0.0,amd64
android-libnativebridge-dev,10.0.0,all
android-libnativebridge,10.0.0,amd64
android-libnativehelper-dev,10.0.0,amd64
android-libnativehelper,10.0.0,amd64
android-libnativeloader-dev,10.0.0,all
android-libnativeloader,10.0.0,amd64
android-libselinux-dev,10.0.0,amd64
android-libselinux,10.0.0,amd64
android-libsepol-dev,10.0.0,amd64
android-libsepol,10.0.0,amd64
android-libsparse-dev,10.0.0,all
android-libsparse,10.0.0,amd64
android-libunwind-dev,10.0.0,amd64
android-libunwind,10.0.0,amd64
android-libutils-dev,10.0.0,all
android-libutils,10.0.0,amd64
android-libziparchive-dev,10.0.0,all
android-libziparchive,10.0.0,amd64
android-logtags-tools,10.0.0,all
android-platform-frameworks-native-headers,10.0.0,all
android-platform-libcore-headers,10.0.0,all
android-platform-system-core-headers,10.0.0,all
android-platform-tools-base,2.2.2,all
android-sdk-build-tools-common,29.0.3,all
android-sdk-build-tools,29.0.3,amd64
android-sdk-common,28.0.2,all
android-sdk-helper,0.2,all
android-sdk-libsparse-utils,10.0.0,amd64
android-sdk-platform-23,6.0.1,all
android-sdk-platform-tools-common,28.0.2,all
android-sdk-platform-tools,28.0.2,amd64
android-sdk,28.0.2,amd64
android-tools-mkbootimg,10.0.0,all
anfo,0.98,amd64
angband-data,3.5.1,all
angband,3.5.1,amd64
angelfish,21.07,amd64
angelscript-dev,2.35.1,amd64
angelscript-doc,2.35.1,all
angrydd,1.0.1,all
animals,201207131226,amd64
anjuta-common,3.34.0,all
anjuta-extras,3.26.0,amd64
anjuta,3.34.0,amd64
anki,2.1.15,all
ann-tools,1.1.2,amd64
ann-tools,1.1.2,i386
anomaly,1.1.0,amd64
anope,2.0.9,amd64
anorack,0.2.7,all
ansible-core,2.12.0,all
ansible-lint,5.4.0,all
ansible-mitogen,0.3.1,all
ansible,2.10.7,all
ansifilter-gui,2.18,amd64
ansifilter,2.18,amd64
ansilove,4.1.5,amd64
ansiweather,1.18.0,all
ant-contrib-cpptasks,1.0~b5,all
ant-contrib,1.0,all
ant-doc,1.10.12,all
ant-optional,1.10.12,all
ant,1.10.12,all
antennavis,0.3.1,amd64
anthy-common,0.4,all
anthy-el,0.4,all
anthy,0.4,amd64
antigravitaattori,0.0.3,amd64
antimicro,3.1.4,amd64
antimony,0.9.3,amd64
antiword,0.37,amd64
antiword,0.37,i386
antlr-doc,2.7.7,all
antlr3-doc,3.5.2,all
antlr3-gunit-maven-plugin,3.5.2,all
antlr3-maven-plugin,3.5.2,all
antlr3,3.5.2,all
antlr4-doc,4.7.2,all
antlr4-maven-plugin,4.7.2,all
antlr4,4.7.2,all
antlr,2.7.7,all
antpm,1.20,amd64
anymeal,1.17,amd64
anypaper,2.4,amd64
anyremote-data,6.7.3,all
anyremote-doc,6.7.3,all
anyremote,6.7.3,amd64
anytun,0.3.8,amd64
aobook,1.0.3,amd64
aodh-api,14.1.0,all
aodh-common,14.1.0,all
aodh-doc,14.1.0,all
aodh-evaluator,14.1.0,all
aodh-expirer,14.1.0,all
aodh-listener,14.1.0,all
aodh-notifier,14.1.0,all
aoetools,36,amd64
aoeui,1.7,amd64
aoflagger-dev,3.1.0,amd64
aoflagger,3.1.0,amd64
aom-tools,3.3.0,amd64
aom-tools,3.3.0,i386
aosd-cat,0.2.7,amd64
ap-utils,1.5,amd64
ap51-flash,2019.0.1,amd64
apache2-bin,2.4.52,amd64
apache2-bin,2.4.52,i386
apache2-data,2.4.52,all
apache2-dev,2.4.52,amd64
apache2-dev,2.4.52,i386
apache2-doc,2.4.52,all
apache2-ssl-dev,2.4.52,amd64
apache2-ssl-dev,2.4.52,i386
apache2-suexec-custom,2.4.52,amd64
apache2-suexec-custom,2.4.52,i386
apache2-suexec-pristine,2.4.52,amd64
apache2-suexec-pristine,2.4.52,i386
apache2-utils,2.4.52,amd64
apache2-utils,2.4.52,i386
apache2,2.4.52,amd64
apache2,2.4.52,i386
apacheds,2.0.0~M24,all
apachetop,0.19.7,amd64
apbs-data,3.0.0,all
apbs,3.0.0,amd64
apcalc-common,2.12.7.2,all
apcalc-dev,2.12.7.2,all
apcalc,2.12.7.2,all
apcupsd-cgi,3.14.14,amd64
apcupsd-doc,3.14.14,all
apcupsd,3.14.14,amd64
apel,10.8,all
apertium-af-nl,0.3.0,all
apertium-afr-nld,0.3.0,all
apertium-anaphora,1.0.2,amd64
apertium-apy,0.11.7,all
apertium-arg-cat,0.2.0,all
apertium-bel-rus,0.2.1,all
apertium-br-fr,0.5.1,all
apertium-ca-it,0.2.1,all
apertium-cat-ita,0.2.1,all
apertium-cat-srd,1.1.0,all
apertium-crh-tur,0.3.0,all
apertium-cy-en,0.1.1~r57554,all
apertium-dan-nor,1.4.1,all
apertium-dev,3.7.2,amd64
apertium-en-ca,1.0.1,all
apertium-en-es,0.8.0~r57502,all
apertium-en-gl,0.5.2~r57551,all
apertium-eng-cat,1.0.1,all
apertium-eo-ca,0.9.2,all
apertium-eo-en,1.0.0~r63833,all
apertium-eo-es,0.9.1~r60655,all
apertium-eo-fr,0.9.1,all
apertium-es-ast,1.1.0~r51165,all
apertium-es-ca,2.2.0,all
apertium-es-gl,1.0.9,all
apertium-es-it,0.2.1,all
apertium-es-pt,1.1.5,all
apertium-es-ro,0.7.3~r57551,all
apertium-eu-en,0.3.1~r56205,all
apertium-eu-es,0.3.3~r56159,all
apertium-eval-translator,1.2.1,all
apertium-fr-es,0.9.2~r61322,all
apertium-fra-cat,1.9.0,all
apertium-fra-frp,1.0.0,all
apertium-get,1.0.0,all
apertium-hbs-eng,0.5.1,all
apertium-hbs-mkd,0.1.0~r76450,all
apertium-hbs-slv,0.5.1,all
apertium-hin,0.1.0~r59158,all
apertium-id-ms,0.1.2,all
apertium-ind-zlm,0.1.2,all
apertium-is-sv,0.1.0~r76450,all
apertium-isl-eng,0.1.0~r66083,all
apertium-isl,0.1.0~r65494,all
apertium-ita,0.10.0~r82237,all
apertium-kaz-tat,0.2.1,all
apertium-lex-tools,0.2.7,amd64
apertium-mk-bg,0.2.0~r49489,all
apertium-mk-en,0.1.1~r57554,all
apertium-mlt-ara,0.2.0~r62623,all
apertium-nno-nob,1.3.0,all
apertium-oc-ca,1.0.6~r57551,all
apertium-oc-es,1.0.6~r57551,all
apertium-oci-fra,0.3.0,all
apertium-pol-szl,0.2.1,all
apertium-por-cat,0.10.0,all
apertium-pt-ca,0.10.0,all
apertium-pt-gl,0.9.2~r57551,all
apertium-recursive,1.0.1,amd64
apertium-rus-ukr,0.2.1,all
apertium-separable,0.3.6,amd64
apertium-sme-nob,0.6.1,all
apertium-spa-arg,0.5.0,all
apertium-spa-cat,2.2.0,all
apertium-spa-ita,0.2.1,all
apertium-spa,1.1.0~r79716,all
apertium-srd-ita,1.1.0,all
apertium-swe-dan,0.8.1,all
apertium-swe-nor,0.3.1,all
apertium-urd-hin,0.1.0~r64379,all
apertium-urd,0.1.0~r61311,all
apertium,3.7.2,amd64
aperture-0-examples,0.1.0,amd64
apf-firewall,9.7,all
apfs-dkms,0,all
apfsprogs,0,amd64
apg,2.2.3.dfsg.1,amd64
apgdiff,2.7.0,all
api-sanity-checker,1.98.7,all
apkinfo,0.3.26,all
apksigcopier,1.0.1,all
apksigner,31.0.2,all
apktool,2.5.0,all
apkverifier,0.0~git20191015.7330a51,amd64
aplus-fsf-dev,4.22.1,amd64
aplus-fsf-doc,4.22.1,all
aplus-fsf-el,4.22.1,all
aplus-fsf,4.22.1,amd64
apng2gif,1.8,amd64
apngasm,2.91,amd64
apngdis,2.9,amd64
apngopt,1.2,amd64
apophenia-bin,1.0,amd64
apophenia-doc,1.0,all
app-install-data,15.10,all
apparix,11,amd64
apparmor-notify,3.0.4,all
apparmor-profiles-extra,1.34,all
apparmor-profiles,3.0.4,all
apparmor-utils,3.0.4,all
apparmor,3.0.4,amd64
apparmor,3.0.4,i386
appc-spec,0.8.11,amd64
append2simg,10.0.0,all
apper-data,1.0.0,all
apper,1.0.0,amd64
appmenu-gtk-module-common,0.7.6,all
appmenu-gtk2-module,0.7.6,amd64
appmenu-gtk3-module,0.7.6,amd64
appmenu-registrar,0.7.6,amd64
apport-gtk,2.20.11,all
apport-kde,2.20.11,all
apport-noui,2.20.11,all
apport-retrace,2.20.11,all
apport-symptoms,0.24,all
apport-valgrind,2.20.11,all
apport,2.20.11,all
approx,5.10,amd64
appstream-compose,0.15.2,amd64
appstream-doc,0.15.2,all
appstream-generator,0.8.6,amd64
appstream-glib-doc,0.7.18,all
appstream-util,0.7.18,amd64
appstream-util,0.7.18,i386
appstream,0.15.2,amd64
apriltag,3.2.0,amd64
aprsdigi,3.10.0,amd64
aprx,2.9.1,amd64
apsfilter,7.2.6,all
apt-btrfs-snapshot,3.5.5,all
apt-build,0.12.49,amd64
apt-cacher-ng,3.7.4,amd64
apt-cacher,1.7.25,all
apt-clone,0.4.3,all
apt-config-auto-update,2.1,all
apt-config-icons-hidpi,0.15.2,all
apt-config-icons-large-hidpi,0.15.2,all
apt-config-icons-large,0.15.2,all
apt-config-icons,0.15.2,all
apt-cudf,7.0.0,amd64
apt-dater-host,1.0.1,all
apt-dater,1.0.4,amd64
apt-doc,2.4.11,all
apt-file,3.2.2,all
apt-forktracer,0.9,all
apt-listchanges,3.24,all
apt-listdifferences,1.20190206,all
apt-mirror,0.5.4,all
apt-move,4.2.27,amd64
apt-offline-gui,1.8.4,all
apt-offline,1.8.4,all
apt-rdepends,1.3.0,all
apt-rollback,1.0.16,all
apt-show-source,0.11,all
apt-show-versions,0.22.13,all
apt-src,0.25.3,all
apt-transport-https,2.4.11,all
apt-transport-in-toto,0.1.1,all
apt-transport-s3,2.0.0,all
apt-transport-tor,0.5,all
apt-utils,2.4.11,amd64
apt-utils,2.4.11,i386
apt-venv,1.0.0,all
apt-xapian-index,0.51ubuntu1,all
apt,2.4.11,amd64
apt,2.4.11,i386
aptdaemon-data,1.1.1,all
aptdaemon,1.1.1,all
aptfs,1.0.1,all
apticron-systemd,1.2.5,all
apticron,1.2.5,all
aptitude-common,0.8.13,all
aptitude-doc-cs,0.8.13,all
aptitude-doc-en,0.8.13,all
aptitude-doc-es,0.8.13,all
aptitude-doc-fi,0.8.13,all
aptitude-doc-fr,0.8.13,all
aptitude-doc-it,0.8.13,all
aptitude-doc-ja,0.8.13,all
aptitude-doc-nl,0.8.13,all
aptitude-doc-ru,0.8.13,all
aptitude-robot,1.5.4,all
aptitude,0.8.13,amd64
aptly-api,1.4.0,amd64
aptly-publisher,0.12.10,all
aptly,1.4.0,amd64
apturl-common,0.5.2ubuntu22,amd64
apturl,0.5.2ubuntu22,amd64
apulse,0.1.13,amd64
apvlv,0.4.0,amd64
apwal,0.4.5,amd64
aqbanking-tools,6.4.3beta,amd64
aqemu,0.9.2,amd64
ara-client,1.5.7,all
ara-server,1.5.7,all
arachne-pnr-chipdb,0.1,all
arachne-pnr,0.1,amd64
aragorn,1.2.38,amd64
arandr,0.1.10,all
aranym,1.1.0,amd64
aravis-tools-cli,0.8.20,amd64
aravis-tools,0.8.20,amd64
arb-common,6.0.6,all
arb-doc,6.0.6,all
arb,6.0.6,amd64
arbtt,0.10.2,amd64
arc-gui-clients,0.4.6,amd64
arc-theme,20220405,all
arc,5.21q,amd64
arcanist-clang-format-linter,0.git20161021,all
arcanist,0~git20200925,all
arch-install-scripts,24,all
arch-test,0.17,all
archivemount,0.8.7,amd64
archmage,0.4.2.1,all
archmbox,4.10.0,all
arctica-greeter-guest-session,0.99.1.5,all
arctica-greeter-remote-logon,0.99.1.5,all
arctica-greeter-theme-debian-futureprototype,0.99.1.5,all
arctica-greeter-theme-debian-softwaves,0.99.1.5,all
arctica-greeter-theme-debian,0.99.1.5,all
arctica-greeter,0.99.1.5,amd64
arden,1.0,all
ardentryst,1.71,all
ardour-data,6.9.0,all
ardour-lv2-plugins,6.9.0,amd64
ardour-video-timeline,6.9.0,all
ardour,6.9.0,amd64
arduino-builder,1.3.25,amd64
arduino-core-avr,1.8.4,all
arduino-ctags,5.8,amd64
arduino-mighty-1284p,1,all
arduino-mk,1.5.2,all
arduino,1.8.19,amd64
arename,4.0,all
ares,126,amd64
argagg-dev-doc,0.4.6,all
argagg-dev,0.4.6,all
argon2,0~20171227,amd64
argon2,0~20171227,i386
argonaut-client,1.3,all
argonaut-common-fai,1.3,all
argonaut-common,1.3,all
argonaut-debconf,1.3,all
argonaut-dovecot,1.3,all
argonaut-fai-mirror,1.3,all
argonaut-fai-monitor,1.3,all
argonaut-fai-nfsroot,1.3,all
argonaut-fai-server,1.3,all
argonaut-freeradius,1.3,all
argonaut-fuse-module-fai,1.3,all
argonaut-fuse-module-opsi,1.3,all
argonaut-fuse,1.3,all
argonaut-fusiondirectory,1.3,all
argonaut-fusioninventory,1.3,all
argonaut-ldap2zone,1.3,all
argonaut-quota,1.3,all
argonaut-samba,1.3,all
argonaut-server-module-fai,1.3,all
argonaut-server-module-opsi,1.3,all
argonaut-server,1.3,all
argus-client,3.0.8.2,amd64
argus-server,3.0.8.2,amd64
argyll-doc,2.2.0,all
argyll-ref,2.2.0,all
argyll,2.2.0,amd64
aria2,1.36.0,amd64
ariba,2.14.6,amd64
aribas,1.64,amd64
ario-common,1.6,all
ario,1.6,amd64
arj,3.10.22,amd64
ark,21.12.3,amd64
arm-trusted-firmware-tools,2.6,amd64
armagetronad-common,0.2.9.1.0,all
armagetronad-dedicated,0.2.9.1.0,amd64
armagetronad,0.2.9.1.0,amd64
arno-iptables-firewall,2.1.1,all
arp-scan,1.9.7,amd64
arpalert,2.0.12,amd64
arping,2.22,amd64
arpon,3.0,amd64
arptables,0.0.5,amd64
arpwatch,2.1a15,amd64
arqiver,0.9.0,amd64
array-info,0.16,amd64
art-nextgen-simulation-tools-profiles,20160605,all
art-nextgen-simulation-tools,20160605,amd64
artemis,18.1.0,all
artfastqgenerator-doc,0.0.20150519,all
artfastqgenerator-examples,0.0.20150519,all
artfastqgenerator,0.0.20150519,all
artha,1.0.5,amd64
artikulate,21.12.3,amd64
as31,2.3.1,amd64
asc-data,2.6.1.0,all
asc-music,1.3,all
asc,2.6.1.0,amd64
ascd,0.13.2,amd64
ascdc,0.3,amd64
ascii2binary,2.14,amd64
ascii,3.18,amd64
asciiart,0.0.10,all
asciidoc-base,10.1.2,all
asciidoc-common,10.1.2,all
asciidoc-dblatex,10.1.2,all
asciidoc-fop,10.1.2,all
asciidoc-tests,10.1.2,all
asciidoc,10.1.2,all
asciidoctor-doc,2.0.16,all
asciidoctor,2.0.16,all
asciijump,1.0.2~beta,amd64
asciinema,2.1.0,all
asclock-themes,2.0.12,all
asclock,2.0.12,amd64
asdftool,2.9.2,all
ase,3.22.1,all
